ID,Population,City,Longitude,Latitude,CIscore,CIscoreP,CES 3.0 Percentile Range,Ozone,PM2.5,Diesel PM,DrinkingWater,Pesticides,Tox Releases,Traffic,Cleanups,GroundwaterThreats,Haz Waste,Imp. Water Bodies,Solid Waste,PollutionScore,Asthma,Low Birth Weight,Cardiovascular,Education,Linguistic Isolation,Poverty,Unemployment,Housing Burden,PopCharScore,Children < 10 (%),Pop 11-64 years (%),Elderly > 65 (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other (%),CIdecile,CIvigintile,2019 Smoking Products,Used prescription drug for asthma,2019 Dom Tapestry Segment Name
06037103200,6150,Sunland,-118.3402287,34.2733521,32.97,65,60-65%,0.055,11.21,14.95,586.49,0.136,836.29,1415.67,2,0,0,0,5.5,46.3,52.87,4.86,10.52,17.7,6.3,42.9,6.6,19.1,55.74,9.4,75.9,14.7,29,56.3,4.2,0.4,7.4,2.6,7,13,698342,238,Pleasantville
06037103300,3819,Sunland,-118.3554781,34.2573787,29.67,59,55-60%,0.055,11.63,17.85,618.05,0,917.38,988.84,2.4,0.3,0.2,0,6.4,49.09,49.5,6.02,10.81,6.1,0,25,5.9,15.2,47.31,9.3,75.5,15.2,19.5,71,0.9,0.3,5.8,2.5,6,12,743050,137,Pleasantville
06037103400,6143,Sunland,-118.3139736,34.2548355,20.53,40,35-40%,0.055,11.63,6.38,618.11,0,913.97,1425.45,0.5,0,0,0,0.5,37.61,43.73,3.98,10.22,9.3,2.6,27,9.3,14.4,42.74,9.5,77,13.5,25.1,61.6,1.4,0.4,8.1,3.4,4,8,998535,229,City Lights
06037104103,4085,Sylmar,-118.3925764,34.2820993,45.29,83,80-85%,0.055,11.21,16.23,615.14,0.693,734.37,1270.36,5,0.2,0.15,0,1.7,50.14,64.44,7.1,8.17,33.9,11.1,40.5,13.9,20,70.71,14.6,77.2,8.2,71.4,7.5,12.6,0.1,6.9,1.5,9,17,222917,106,Urban Villages
06037104105,5412,Pacoima,-118.4046862,34.2761482,36.48,71,70-75%,0.055,11.21,16.23,618.05,0,673.48,1263.38,5,0,0.05,0,0.9,43.99,68.59,4.17,7.21,43.3,23,58.6,14.7,19.9,64.91,16.9,77.4,5.7,82.6,4.1,6.4,0.1,5.7,1.1,8,15,307839,189,Las Casas
06037104108,5256,Pacoima,-118.3985703,34.2731497,43.88,81,80-85%,0.055,11.21,16.23,618.05,2.441,766.85,1247.07,6,2,0.56,0,0.4,52.49,54.52,5.65,6.04,41.7,15.6,59.1,10.5,29.2,65.44,17.2,74.4,8.4,79.3,4.8,11.1,0.1,3.5,1.2,9,17,313159,191,International Marketplace
06037104124,4175,Sylmar,-118.373946,34.2902413,36.04,70,70-75%,0.055,11.21,18.6,680.32,0.755,763.27,1052.43,1,0.5,0.25,0,1.7,50.8,64.44,4.82,8.17,18.2,2.5,33.5,10,26.9,55.54,12.7,78,9.3,50.8,28.1,13.6,0.4,5.6,1.5,8,15,352318,122,Urban Villages
06037104201,4780,San Fernando,-118.4160998,34.2865005,38.07,73,70-75%,0.057,11.21,17.54,671.41,0,588.01,1602.18,7.55,4.8,0.4,0,1.4,52.81,51.26,4.53,4.77,45.8,9.3,48.7,12.5,32.4,56.43,17.8,76.5,5.7,89.8,1,8.1,0.1,0.1,0.8,8,15,199397,151,Las Casas
06037104203,5210,Pacoima,-118.4115543,34.2790581,40.88,77,75-80%,0.057,11.21,16.23,618.05,0,654.06,1294.45,3.5,1.8,0.04,0,0.5,43.74,71.02,5.08,7.44,50.3,30.2,63.7,14,26.2,73.17,19.1,74.1,6.8,90.4,1.3,6.1,0.2,1.4,0.7,8,16,236832,174,Las Casas
06037104204,3375,Sylmar,-118.3931176,34.2912875,40.03,76,75-80%,0.057,11.21,15.92,665.94,0.083,604.29,1020.19,4.7,4.5,0.1,0,7,52.91,45.02,4.58,5.38,44,19.3,61.1,12.1,28.7,59.23,15.6,76.7,7.7,73.5,10.2,7.4,0.1,8,0.8,8,16,204410,110,Urban Villages
06037104310,4921,Pacoima,-118.4292815,34.2763731,59.68,96,95-100% (highest scores),0.057,11.21,24.12,672.6,0,614.36,1816.25,55.5,33.5,1.07,0,7,65.65,57.29,6.69,5.21,52.5,22.3,57.6,14.8,28,71.16,18.2,74.9,6.9,94,1.6,3.9,0.1,0.1,0.3,10,20,243712,153,Las Casas
06037104320,5998,Pacoima,-118.4202492,34.2731324,58.03,95,95-100% (highest scores),0.057,11.21,19.85,618.05,0,655.49,1598.63,40.25,27,0.62,0,2.7,60.76,73.79,5.28,7.7,48.2,18.1,55.4,20.5,28.6,74.76,17.7,74.2,8.1,91.1,1.1,5.8,0.2,1.4,0.4,10,20,254746,169,Urban Villages
06037104401,3357,Pacoima,-118.4327217,34.2670388,58.76,96,95-100% (highest scores),0.057,11.21,24.19,618.05,0,650.66,1700.28,37.4,13.25,0.42,0,2.7,60.1,73.79,6.3,7.7,58.3,18.4,50.8,12.4,31.2,76.55,17.5,73.9,8.6,96.8,2.1,0.1,0.4,0.6,0.1,10,20,187479,102,Las Casas
06037104403,3282,Pacoima,-118.4344849,34.2587738,45.32,83,80-85%,0.057,11.21,19.71,618.05,0,664.79,3131.69,1.75,0,0.04,0,0,43.95,73.79,7.86,7.7,51,22,53.4,16.3,29.3,80.73,15.8,75.3,8.9,96.3,1.8,0.5,0.1,0.9,0.4,9,17,149072,93,Urban Villages
06037104404,3236,Pacoima,-118.4286916,34.2639207,50.26,89,85-90%,0.057,11.21,23.49,618.05,0,666.12,1017.38,27.5,9.1,0.26,0,0.5,54.19,73.79,4.79,7.7,55.2,29,56.4,13.5,29.1,72.61,16.6,76,7.4,96.2,1.8,1,0.2,0.5,0.4,9,18,147344,112,Las Casas
06037104500,3293,Pacoima,-118.4257479,34.2555108,38.13,73,70-75%,0.057,11.21,18.58,618.05,0,688.05,910.23,4.7,0,0.06,0,0,42.29,73.79,5.62,7.7,51.7,23.7,49.3,8.4,26,70.59,18.4,73.1,8.5,95.3,3.2,0.6,0,0.8,0.1,8,15,153107,114,Las Casas
06037104610,3672,Pacoima,-118.4189927,34.2604355,47.59,86,85-90%,0.055,11.21,22.45,618.05,0,698.28,828.15,19.75,2.5,0.14,0,0.7,49.25,73.79,5.51,7.7,50.6,30.6,55.9,11.2,44.8,75.64,18.5,74.4,7.1,97.3,1.4,0.4,0.2,0.5,0.3,9,18,149941,114,Las Casas
06037104620,3539,Pacoima,-118.4224647,34.2579043,39,74,70-75%,0.055,11.21,20.84,618.05,0,693.86,738.58,10.3,0,0.05,0,0,42.79,73.79,4.81,7.7,59,23.6,53.1,12.5,28.6,71.35,16.5,74.8,8.7,96.6,2,0.3,0.5,0.3,0.2,8,15,172496,125,Las Casas
06037104701,4208,Pacoima,-118.415214,34.2684745,48.83,88,85-90%,0.057,11.21,16.39,618.05,0,679.1,921.2,14.5,1.5,0.2,0,0,46.56,73.79,6.13,7.7,59.3,21.7,82.8,21.4,36.6,82.1,21.2,73.3,5.5,95.5,0.9,2.9,0.1,0.3,0.5,9,18,163820,142,High Rise Renters
