ID,Population,City,Longitude,Latitude,CIscore,CIscoreP,CES 3.0 Percentile Range,Ozone,PM2.5,Diesel PM,DrinkingWater,Pesticides,Tox Releases,Traffic,Cleanups,GroundwaterThreats,Haz Waste,Imp. Water Bodies,Solid Waste,PollutionScore,PollutionScore,Asthma,Low Birth Weight,Cardiovascular,Education,Linguistic Isolation,Poverty,Unemployment,Housing Burden,PopCharScore,Children < 10 (%),Pop 11-64 years (%),Elderly > 65 (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other (%),CIdecile,CIvigintile,2019 Smoking Products,Used prescription drug for asthma,2019 Dom Tapestry Segment Name
06037134522,3954,Canoga Park,-118.6017183,34.2046744,39.97,76,75-80%,0.057,10.37,11.21,618.05,0,384.21,1238.07,0,12,0.02,2,4,45.42,5.59,63.55,4.24,9.76,30,22.6,63.5,11.1,25.2,7.14,17.7,77.3,5,70,15.5,5,0.2,7.7,1.7,8,16,271996,146,International Marketplace
06037134710,5287,Winnetka,-118.5779426,34.2023735,40.62,77,75-80%,0.057,10.37,14.32,618.05,0.048,412.44,784.87,1.75,0,0.05,2,0,40.26,4.96,63.65,5.95,11.42,35.9,26.5,61.6,8.7,34.2,8.19,16.8,77.6,5.6,69,14,3.2,0.2,11.7,2,8,16,503847,171,NeWest Residents
06037134903,4216,Canoga Park,-118.5916957,34.1924692,33.94,67,65-70%,0.057,10.37,22.36,618.05,212.036,402.97,1345.42,3,25.5,0.67,2,0,60.47,7.45,36.4,4.49,5.94,15,13.8,45.7,6.8,19.5,4.56,11.9,84.8,3.3,39.2,30.5,8.4,0.2,18,3.7,7,14,1053349,184,Young and Restless
06037134904,4338,Winnetka,-118.5802111,34.1913886,42.35,79,75-80%,0.057,10.37,22.05,618.05,9.743,413.55,1438.88,5.5,3.5,0.21,2,0,54.44,6.71,53.78,3.78,9.65,27.3,18.3,44.2,8.5,30.7,6.32,14.1,76.1,9.8,54.5,29.5,4.1,0.2,9.4,2.3,8,16,368556,147,International Marketplace
06037134905,2819,Woodland Hills,-118.5842954,34.1833588,18.36,34,30-35%,0.057,10.37,30.48,618.05,142.104,415.29,1033.69,12,17.5,0.64,2,0,62.73,7.73,24.53,4.26,4.67,1.5,2.9,17.4,7,19.9,2.38,8.5,82.7,8.8,12.6,61.2,8.7,0.3,12.6,4.6,4,7,1320035,139,Laptops and Lattes
06037135102,3513,West Hills,-118.6174552,34.1886366,28.31,57,55-60%,0.057,10.37,16.04,618.05,5.116,384.16,994.31,1,7.75,0.12,2,0,49.01,6.04,35.51,5.73,6.69,5.2,3.4,23.8,10.2,27.8,4.69,9.7,72,18.3,17.5,64.3,3.4,0.2,10.6,3.9,6,12,513992,131,Pleasantville
06037135111,2967,Canoga Park,-118.6102388,34.1924609,21.64,42,40-45%,0.057,10.37,14.14,618.05,14.116,388.55,878.2,1.1,27.5,0.27,2,0,52.69,6.49,43.28,4.03,6.86,9.8,0.9,24.3,4.5,18.5,3.33,10.8,76.8,12.4,23.3,58.3,4.1,0.3,10,3.9,5,9,457494,107,Pleasantville
06037135113,2795,Woodland Hills,-118.6059583,34.1810129,22.39,44,40-45%,0.057,10.37,18.93,618.05,230.452,401.96,628.79,0.1,2.5,0,2,0,44.58,5.49,40.24,5.22,8.27,3.4,11.2,14.8,2.9,16.2,4.08,11.9,77.8,10.3,13.6,52.5,9.4,0.4,19.1,5,5,9,480525,94,Enterprising Professionals
06037135114,4445,Canoga Park,-118.603662,34.1904438,37.74,73,70-75%,0.057,10.37,21.83,618.05,271.396,396.15,931.89,4.35,21.5,0.4,2,0,58.55,7.21,25.61,6.51,4.45,5,17.4,36.7,18.6,24,5.23,9.5,73.8,16.7,12.7,51.2,5.1,0.3,26.7,4.1,8,15,1093845,156,Enterprising Professionals
06037135201,2620,West Hills,-118.6261323,34.1903616,14.69,24,20-25%,0.057,10.37,16.34,618.05,0.125,375.1,910.38,1,3,0.1,2,0,44.25,5.45,38.24,2.72,7.35,4.5,1.8,23.1,5.4,15.3,2.7,11.3,70.3,18.4,14.5,67.9,3.2,0.2,11.1,3.1,3,5,415878,92,Pleasantville
