OBJECTID,Ozone Pctl,PM 2.5 Pctl,Diesel PM Pctl,DrinkingWater Pctl,Pesticides Pctl,Tox Releases Pctl,GroundWater Threats Pctl,Asthma,Asthma Pctl,Cardiovascular Pctl,Education Pctl,Poverty Pctl,Children < 10 (%),Elderly > 65 (%),Hispanic (%),White (%),Asian American (%),Other (%),Shape_Length,Shape_Area
275,74,82,76,81,1,63,71,49.9,56,48,66,71,11.1,7.1,47.5,36.3,5.2,2.8,7140.490652,1537126.566
276,74,82,76,70,1,63,71,57.11,66,62,47,75,8.3,8.8,36.4,38.5,10.8,4.3,4883.311076,928587.3335
277,74,82,76,70,1,63,50,57.11,66,62,15,45,6,6.2,27.4,46.7,7.2,4.2,3706.250714,581275.5453
278,74,82,76,70,0,63,29,39.17,41,28,31,36,6.8,7.2,20,59.9,6.6,3.8,4093.451875,1020286.362
279,74,82,76,70,0,64,39,57.11,66,62,41,49,7.5,7.7,29.2,53.7,7.1,2.6,3405.306136,681272.5645
280,74,82,76,70,0,64,52,37.03,37,27,29,69,6.1,6.5,16,63.3,8.3,4.2,3547.182486,761182.2321
281,74,82,76,79,0,64,52,36.01,35,24,15,33,8.8,15.8,13.7,71.5,6.4,4,5451.443161,1496143.981
282,78,66,55,70,0,59,0,98.74,93,95,76,75,15.4,6,61.9,21.7,8.7,1.9,4535.97825,1258431.812
283,78,66,55,70,0,60,71,60.87,70,63,84,87,14.9,5.2,61.7,25.9,5.2,2,2766.823384,417473.0852
284,78,66,55,70,0,59,41,98.74,93,95,71,78,13.7,8.5,52.5,32.4,8,2.4,4156.723623,1036301.345
285,78,66,55,70,0,56,0,98.58,92,95,73,70,14.8,8.8,61.7,20,10.4,1.7,7240.046688,2252664.234
286,78,66,55,70,0,57,0,98.74,93,95,84,91,14.1,10.6,63.8,19.2,10.5,1.5,3915.946136,955764.1159
287,82,66,87,70,0,55,25,48.77,55,35,61,67,11.4,10.2,49,29.8,10,3.1,5557.000843,1544858.763
288,82,54,87,70,0,57,62,74.19,82,78,89,93,16.9,4.9,73.2,15.3,4.8,1.5,9280.417535,3195932.897
289,82,66,87,70,0,56,25,41,44,14,92,95,19.8,2.6,82,6.2,6.5,2.1,2959.37585,533564.5186
290,82,54,87,70,0,55,0,74.19,82,78,76,85,16,4.9,74.5,14,5.8,1.1,3588.741484,633146.1389
291,82,54,87,70,0,55,0,74.19,82,78,68,88,14.9,13.7,53.1,27.8,9.3,2.8,3653.520113,644768.4415
292,82,54,85,70,78,55,0,74.19,82,78,71,86,15.7,3.6,72.7,14.2,5.9,1.3,3909.915731,953963.8018
293,82,66,86,70,0,55,0,74.19,82,78,71,70,15.1,7,60.8,24.2,7.1,2.2,3599.060735,800905.5994
